Name,Price,Link
"Refurbished: DELL Grade B Laptop XPS 13 9350 Intel Core i7 6th Gen 6500U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 13.3"" Touchscreen Windows 10 Home",$743.94 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16834849713&cm_re=dell-_-34-849-713-_-Product
"Refurbished: DELL B Grade Laptop E7440 Intel Core i5 4th Gen 4300U (1.90 GHz) 8 GB Memory 320 GB HDD 14.0"" Windows 10 Pro 64-Bit",$238.64 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16834861948&cm_re=dell-_-34-861-948-_-Product
DELL Desktop Computer XPS 8920 XPS8920-7838BLK Intel Core i7 7th Gen 7700 (3.60 GHz) 16 GB DDR4 1 TB HDD Intel HD Graphics 630 Windows 10 Home 64-Bit,$831.17 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16883165111&cm_re=dell-_-83-165-111-_-Product
"DELL Laptop XPS XPS9370-7002SLV Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 13.3"" Windows 10 Home 64-Bit","$1,314.81 (11 Offers)",https://www.newegg.com/Product/Product.aspx?Item=N82E16834849822&cm_re=dell-_-34-849-822-_-Product
"Refurbished: DELL Laptop Latitude E6440 Intel Core i5 4th Gen 4300M (2.60 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$342.00 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIABYS7312413&cm_re=dell-_-34-296-821-_-Product
"DELL Laptop XPS 13 (9360) XPS9360-1718SLV Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 620 13.3"" Touchscreen Windows 10 Home 64-Bit",$859.00 (3 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAEYJ6EY6154&cm_re=dell-_-34-863-545-_-Product
"Dell XPS 8930 Tower Desktop, 8th Gen Intel 6-Core i7-8700 Upto 4.6GHz, 16GB DDR4, 512GB SSD Plus 1TB HDD, DVD-RW, Wifi, Bluetooth, Dual Monitor Capable, Windows 10 Professional","$1,199.99 ",https://www.newegg.com/Product/Product.aspx?Item=9SIAA0S7125010&cm_re=dell-_-9SIAA0S7125010-_-Product
DELL Desktop Computer OptiPlex 3050 (99K5T) Intel Core i5 7th Gen 7500 (3.40 GHz) 8 GB DDR4 256 GB SSD Intel HD Graphics 630 Windows 10 Pro 64-Bit,$659.99 (19 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16883163427&cm_re=dell-_-83-163-427-_-Product
"Dell UltraSharp U2518D 25"" 2K QHD 1440p 5ms 60Hz Monitor, 350 cd/m², DP, HDMI, USB, Tilt, Height Adjustable, Swivel, Pivot, VESA Compatible",$345.65 (13 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16824260557&cm_re=dell-_-24-260-557-_-Product
"Refurbished: DELL Grade B Laptop XPS 15 9550 Intel Core i7 6th Gen 6700HQ (2.60 GHz) 16 GB Memory 512 GB SSD Intel HD Graphics 530 15.6"" Touchscreen Windows 10 Home","$1,049.00 (2 Offers)",https://www.newegg.com/Product/Product.aspx?Item=N82E16834849710&cm_re=dell-_-34-849-710-_-Product
