Name,Price,Link
Christopher Knight Home Gentry 2-Piece Leather Dining Chairs (Black),$159.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM0K08954&cm_re=dining_table-_-9SIA1YM0K08954-_-Product
Christopher Knight Home Gentry Bonded Leather Ivory Dining Chair (Set of 2),$159.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM0K08959&cm_re=dining_table-_-9SIA1YM0K08959-_-Product
Christopher Knight Home Stanford Ivory Leather Dining Chairs (Set of 2),$179.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM0K14273&cm_re=dining_table-_-9SIA1YM0K14273-_-Product
Barrington Leather Dining Chair 2pk,$269.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM0K14286&cm_re=dining_table-_-9SIA1YM0K14286-_-Product
Christopher Knight Home Palermo Tufted Dining Chairs (Set of 2),$299.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM2FR3540&cm_re=dining_table-_-9SIA1YM2FR3540-_-Product
Christopher Knight Home Ryan Dining Chair (Set of 2),$169.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM38P7328&cm_re=dining_table-_-9SIA1YM38P7328-_-Product
Christopher Knight Home Weathered Hardwood Studded Dining Chairs (Set of 2),$299.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM1165583&cm_re=dining_table-_-9SIA1YM1165583-_-Product
Christopher Knight Home T-stitch Teal Blue Leather Dining Chairs (Set of 2),$166.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM56W7634&cm_re=dining_table-_-9SIA1YM56W7634-_-Product
3 PCS Dining Set Table and 2 Chairs Home Kitchen Breakfast Bistro Pub Furniture,$78.95 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAAH770X3329&cm_re=dining_table-_-9SIAAH770X3329-_-Product
Christopher Knight Home Kwame Mid-Century 5-piece Rectangle Dining Set,$525.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM4ZT8161&cm_re=dining_table-_-9SIA1YM4ZT8161-_-Product
Christopher Knight Home Orrin Mid-Century 5-piece Rectangle Dining Set,$749.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM4ZT8206&cm_re=dining_table-_-9SIA1YM4ZT8206-_-Product
Christopher Knight Home Anise Mid-Century 5-piece Rectangle Dining Set,$509.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM4ZT8552&cm_re=dining_table-_-9SIA1YM4ZT8552-_-Product
Christopher Knight Home Bryson Fabric Dining Chair (Set of 2),$149.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1YM4ZT9173&cm_re=dining_table-_-9SIA1YM4ZT9173-_-Product
Best Choice Products 5 Piece Kitchen Dining Table Set W/ Glass Top And 4 Leather Chairs Dinette - Black,$184.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH5608773&cm_re=dining_table-_-9SIA1JH5608773-_-Product
"Best Choice Products 5-Piece Wood Dining Table Set w/ Bench, 3 Chairs Dinette - Brown",$199.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH5C86186&cm_re=dining_table-_-9SIA1JH5C86186-_-Product
"Best Choice Products Home 5-Piece Dining Table Set w/ Glass Table Top, 4 Chairs (Silver)",$139.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH6287220&cm_re=dining_table-_-9SIA1JH6287220-_-Product
Best Choice Products Set of 4 Fabric Eames Style Dining Side Chairs (Dark Gray),$114.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH6D28380&cm_re=dining_table-_-9SIA1JH6D28380-_-Product
Best Choice Products Set of 4 Stacking Metal Distressed Industrial Style Dining Chairs (Blue),$175.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH6D68217&cm_re=dining_table-_-9SIA1JH6D68217-_-Product
Best Choice Products Set of 2 Tufted High Back Parsons Dining Chairs (Blue),$106.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH6DJ0141&cm_re=dining_table-_-9SIA1JH6DJ0141-_-Product
Best Choice Products Set of 4 Industrial Metal Dining Side Chairs (Black),$134.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1JH6DK2142&cm_re=dining_table-_-9SIA1JH6DK2142-_-Product
