Name,Price,Link
"Apple iPad 9.7"" Retina Display 32GB Wi-Fi Multi-Touch Tablet 5th Gen MP2F2LLA - Space Gray",$299.95 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA37876A5573&cm_re=ipad-_-24W-0002-00940-_-Product
"APPLE IPAD PRO 10.5"" MQDT2LL/A 64GB WIFI RETINA DISPLAY SPACE GRAY !",$595.11 ,https://www.newegg.com/Product/Product.aspx?Item=24W-0002-008A5&cm_re=ipad-_-24W-0002-008A5-_-Product
"Refurbished: Apple iPad 4th Gen 32GB 9.7"" Tablet (A Grade) Black MD511LL/A-A",$174.54 (4 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAD797AR5566&cm_re=ipad-_-24W-0002-000E8-_-Product
"Apple 9.7"" iPad (2017, 32GB, Wi-Fi Only, Gold) MPGT2LL/A",$297.95 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA3786ME6959&cm_re=ipad-_-24W-0002-008C1-_-Product
"Apple iPad 9.7"" Wi-Fi 128GB - Gold, 2017",$399.95 (13 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA3785RX9856&cm_re=ipad-_-24W-0002-00747-_-Product
"Refurbished: Apple iPad Mini MD531LL/A 16GB Wifi 7.9"", White",$99.50 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAC8U7935322&cm_re=ipad-_-0EJ-001B-002R1-_-Product
"Refurbished: Apple iPad Air WiFi 16GB iOS 7 9.7"" Tablet - MD785LL/A - Space Gray",$169.00 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIADFM7E63135&cm_re=ipad-_-0EJ-001B-00371-_-Product
"Refurbished: Apple iPad 3rd Gen 9.7"" 32GB 4G Cellular(Unlock) Black + FREE $60 Accessory Kit A",$139.98 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAD797C92412&cm_re=ipad-_-1AY-0009-00107-_-Product
"Refurbished: Apple iPad 4 with 9.7"" Retina Display (2048x1536 264 ppi) - 16GB - Wi-Fi - Bluetooth - iOS 10 - Black - A1458 MD510LL/A 4th Generation - Genuine Apple Charger Included - Grade B",$139.49 (4 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAD797C92395&cm_re=ipad-_-24W-0002-007V2-_-Product
"Apple 9.7"" iPad (Early 2018, 128GB, Wi-Fi Only, Space Gray)",$454.95 (8 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA3787BN6834&cm_re=ipad-_-24W-0002-009B8-_-Product
