Name,Price,Link
Refurbished: Apple iPod Nano 16GB Blue (8th Gen),$174.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA5EF5DK1919&cm_re=ipod_nano-_-9SIA5EF5DK1919-_-Product
Refurbished: iPod Nano 7th Generation-16GB - Slate- Very Good,$144.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BV8379&cm_re=ipod_nano-_-9SIAF9R7BV8379-_-Product
Refurbished: iPod Nano 6th Generation-8GB - Blue - Very Good,$109.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BV8401&cm_re=ipod_nano-_-9SIAF9R7BV8401-_-Product
"Refurbished: Apple iPod nano (6th Generation) 1.54"" Blue 8GB MP3 Player MC689LL/A-R",$109.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH4259&cm_re=ipod_nano-_-9SIAF9R7CH4259-_-Product
Apple MKN52LL/A iPod nano 16GB 8th Generation Space Gray,$279.95 (3 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA37862W3811&cm_re=ipod_nano-_-18T-0005-00148-_-Product
Refurbished: Apple MC027LL/A - iPod nano 8GB - 5th Gen w/ Camera (SILVER),$99.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH4314&cm_re=ipod_nano-_-9SIAF9R7CH4314-_-Product
"Refurbished: Apple iPod nano (7th Gen) 2.5"" Blue 16GB MP3 Player MD477LL/A",$144.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH4271&cm_re=ipod_nano-_-9SIAF9R7CH4271-_-Product
Refurbished: iPod Nano 4th Generation-8GB - Black - Acceptable,$79.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BV8276&cm_re=ipod_nano-_-9SIAF9R7BV8276-_-Product
Used - Very Good: Apple iPod Nano 16GB Yellow (7th Gen),$169.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIADKZ5JK1076&cm_re=ipod_nano-_-9SIADKZ5JK1076-_-Product
Used - Very Good: Apple iPod Nano 16GB Purple (7th Gen),$169.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIADKZ5JK1054&cm_re=ipod_nano-_-9SIADKZ5JK1054-_-Product
Apple iPod Nano 16GB Pink (7th Gen),$269.95 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA3782CZ2082&cm_re=ipod_nano-_-55-101-321-_-Product
Apple MC526LL/A - 16GB iPod nano (6th Gen) SILVER,$379.95 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ0V59170&cm_re=ipod_nano-_-9SIA0AJ0V59170-_-Product
Apple MC525LL/A - 8GB iPod nano (6th Gen) SILVER,$249.95 (1 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ0FT6272&cm_re=ipod_nano-_-55-101-251-_-Product
Apple MC688LL/A - 8GB iPod nano (6th Gen) BLACK,$269.95 (1 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ0X71621&cm_re=ipod_nano-_-55-101-252-_-Product
Apple MC689LL/A - 8GB iPod nano (6th Gen) BLUE,$259.95 (1 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ0EY9352&cm_re=ipod_nano-_-55-101-253-_-Product
"Apple iPod nano (4th Gen) 2.0"" Black 8GB MP3 / MP4 Player MB754LL/A",$299.95 (1 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ20D3419&cm_re=ipod_nano-_-55-101-145-_-Product
Apple iPod Nano 8th Generation (16GB) Hot Pink Bundle + 6 Bonus Accessories!,$329.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIADKZ69Y6522&cm_re=ipod_nano-_-9SIADKZ69Y6522-_-Product
Apple MKMX2LL/A iPod nano 16GB 8th Generation Gold,$329.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIADKZ6CU2869&cm_re=ipod_nano-_-9SIADKZ6CU2869-_-Product
Apple MKN22LL/A iPod nano 16GB 8th Generation Silver,$329.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIADKZ6K24524&cm_re=ipod_nano-_-9SIADKZ6K24524-_-Product
iLuv Hard Shell Case for iPod nano 5G (Clear),$24.73 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA17P6XV3659&cm_re=ipod_nano-_-9SIA17P6XV3659-_-Product
