Name,Price,Link
Apple iPod Classic 160GB - Black,$169.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ0KV8404&cm_re=ipod-_-9SIA0AJ0KV8404-_-Product
"Refurbished: Apple iPod Touch 4th Gen 32GB WiFi 3.5"" LCD Digital Media MP3 Player MC544LLA",$69.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA10V5083224&cm_re=ipod-_-0G7-0016-00259-_-Product
Apple iPod touch 32GB Space Gray (6th Generation) NEWEST MODEL,$54.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIACX45MB1396&cm_re=ipod-_-18T-0005-00138-_-Product
Apple iPod touch 64GB Space Gray(6th Generation) NEWEST MODEL,$74.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA37834X4434&cm_re=ipod-_-9SIA37834X4434-_-Product
"Refurbished: Apple iPod touch (5th Gen) 4"" Black 32GB MP3 / MP4 Player MD723LL/A",,https://www.newegg.com/Product/Product.aspx?Item=9SIA5EF6GJ3984&cm_re=ipod-_-55-101-348-_-Product
Refurbished: Apple - iPod touch 16GB - 4th Gen (White) ME179LL/A,$149.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH4268&cm_re=ipod-_-9SIAF9R7CH4268-_-Product
"Refurbished: Apple iPod Touch 8GB 4th Generation,Black (Refurbished)",$109.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R6V14953&cm_re=ipod-_-55-101-494-_-Product
Used - Very Good: Apple MC544LL/A - 32GB iPod Touch w/ Camera (4th Gen),$124.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BN1078&cm_re=ipod-_-9SIAF9R7BN1078-_-Product
Used - Very Good: Apple iPod Touch 32GB Black (5th Gen),$60.71 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BN1224&cm_re=ipod-_-55-101-300-_-Product
"Refurbished: Apple iPod touch (5th Gen) 4"" Pink 32GB MP3 / MP4 Player MC903LL/A",$39.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BN6861&cm_re=ipod-_-55-101-345-_-Product
Refurbished: iPod Classic 5th Generation White-30GB - Good,$69.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BV8340&cm_re=ipod-_-9SIAF9R7BV8340-_-Product
Refurbished: Apple iPod Touch 16GB Space Gray 6th Generation MKH62LL/A,$79.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH3946&cm_re=ipod-_-0VG-005Z-00094-_-Product
Refurbished: Apple iPod Touch 8GB Wi-Fi 4th Gen and Pink Noise Cancelling Headphones Bundle,$79.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA9587AV2802&cm_re=ipod-_-9SIA9587AV2802-_-Product
Refurbished: Apple - iPod touch 8GB - 2nd (Black) MC086LL/A,$144.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH4253&cm_re=ipod-_-9SIAF9R7CH4253-_-Product
Refurbished: Apple iPod Touch 2nd Gen 32GB A1288 MB533LL/A Gloss Black and Chrome Back,$190.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BZ6202&cm_re=ipod-_-9SIAF9R7BZ6202-_-Product
Refurbished: iPod Nano 3rd Generation-8GB - Black - Acceptable,$5.49 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BV8383&cm_re=ipod-_-9SIAF9R7BV8383-_-Product
Refurbished: iPod Nano 4th Generation-8GB - Black - Acceptable,$94.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7BV8276&cm_re=ipod-_-9SIAF9R7BV8276-_-Product
Refurbished: Apple iPod Nano 16GB Purple (7th Gen),$17.43 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAF9R7CH3900&cm_re=ipod-_-9SIAF9R7CH3900-_-Product
Waterproof iPod Shuffle by Underwater Audio,$339.90 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA5NA5ZK1662&cm_re=ipod-_-9SIA5NA5ZK1662-_-Product
Refurbished: Genuine Apple Lightning to USB Charge & Sync Cable for iPhone / iPad / iPod,$218.50 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA9H96MG0202&cm_re=ipod-_-9SIA9H96MG0202-_-Product
