Name,Price,Link
Amazon Kindle Paperwhite 6-inch 300 ppi WiFi 4GB E-Reader (2015) (Black),$109.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAEYJ7574820&cm_re=kindle-_-9SIAEYJ7574820-_-Product
"Fintie Folio Case for Kindle Paperwhite - The Book Style PU Leather Cover Auto Sleep/Wake for All-New Amazon Kindle Paperwhite (Fits All versions: 2012 2013 2014 and 2015 New), Vintage Glory Purple",$10.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN6888&cm_re=kindle-_-9SIAD455HN6888-_-Product
"Amazon Kindle Paperwhite 6"" 300 PPI 4GB Touchscreen Wi-fi New 2015 Edition",$188.95 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIABG94Z17652&cm_re=kindle-_-0VG-000X-00008-_-Product
"Fintie Thinnest and Lightest Leather SmartShell Case for All-New Amazon Kindle Paperwhite, Blue",$9.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN8138&cm_re=kindle-_-9SIAD455HN8138-_-Product
"Refurbished: Kindle Fire HD 7"", HD Display, Wi-Fi, 16 GB - Includes Special Offers (Previous",$42.49 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA5UZ4RT0183&cm_re=kindle-_-9SIA5UZ4RT0183-_-Product
"Amazon Kindle 6"" Glare-Free Touchscreen Display WiFi eBook eReader",,https://www.newegg.com/Product/Product.aspx?Item=9SIAEYJ7574774&cm_re=kindle-_-0VG-000F-00016-_-Product
"Kindle Paperwhite Tablet with Special Offers 2GB Memory 6"" | 53-000279",$249.95 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ17B5667&cm_re=kindle-_-9SIA0AJ17B5667-_-Product
"Kindle Paperwhite 6"" High Resolution Display Built-in Light Wi-Fi eReader-Black",$109.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAEYJ7574824&cm_re=kindle-_-9SIAEYJ7574824-_-Product
"Amazon Kindle WIFI (Demo Model) Full 1 Year Warranty, in Manufacturer Packaging",$129.95 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ15M0037&cm_re=kindle-_-9SIA0AJ15M0037-_-Product
"Amazon 6"" Kindle High Resolution Display with Next-Gen Built-in Light",$108.00 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIA6V64WA5489&cm_re=kindle-_-12K-00J2-00002-_-Product
"Fintie SmartShell Case for Kindle Paperwhite - The Thinnest and Lightest Leather Cover for All-New Amazon Kindle Paperwhite (Fits All versions: 2012, 2013, 2014 and 2015 New 300 PPI), Orange",$9.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN5702&cm_re=kindle-_-9SIAD455HN5702-_-Product
"Fintie Folio Case for Kindle Paperwhite - The Book Style PU Leather Cover with Auto Sleep/Wake for All-New Amazon Kindle Paperwhite (Fits All versions: 2012 2013 2014 and 2015 New 300 PPI), Dual Color",$11.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN6912&cm_re=kindle-_-9SIAD455HN6912-_-Product
"Fintie Folio Case for Kindle Paperwhite - The Book Style PU Leather Cover Auto Sleep/Wake for All-New Amazon Kindle Paperwhite (Fits All versions: 2012 2013 2014 and 2015 New), Vintage Antique Bronze",$10.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN8139&cm_re=kindle-_-9SIAD455HN8139-_-Product
"Fintie Folio Case for Amazon Kindle Paperwhite - The Book Style Fabric Cover W/ Auto Sleep/Wake, Denim Charcoal",$11.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD456CB7201&cm_re=kindle-_-9SIAD456CB7201-_-Product
"Fintie Case for Amazon Kindle Paperwhite - The Book Style PU Leather Folio Cover W/ Auto Sleep/Wake, Emerald Illusions",$11.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD456CB7217&cm_re=kindle-_-9SIAD456CB7217-_-Product
"Fintie Folio Case for Amazon Kindle Paperwhite - The Book Style Fabric Cover W/ Auto Sleep/Wake, Denim Black",$11.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD456JB0009&cm_re=kindle-_-9SIAD456JB0009-_-Product
"Fintie Folio Case for Kindle Paperwhite - The Book Style PU Leather Cover Auto Sleep/Wake for All-New Amazon Kindle Paperwhite (Fits All versions: 2012 2013 2014 and 2015 New 300 PPI), Vintage Maroon",$10.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN6267&cm_re=kindle-_-9SIAD455HN6267-_-Product
"Fintie SmartShell Case for Kindle Paperwhite - The Thinnest and Lightest Leather Cover for All-New Amazon Kindle Paperwhite (Fits All versions: 2012, 2013, 2014 and 2015 New 300 PPI), Red",$9.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN5927&cm_re=kindle-_-9SIAD455HN5927-_-Product
"Fintie Folio Case for Kindle Paperwhite - The Book Style PU Leather Cover Auto Sleep/Wake for All-New Amazon Kindle Paperwhite (Fits versions: 2012 2013 2014 and 2015 New 300 PPI), Vintage Blue Rose",$11.99 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAD455HN7938&cm_re=kindle-_-9SIAD455HN7938-_-Product
1530mAh Battery fits Amazon Kindle 2 Wi-Fi 3G 2Gen D00701 S11S01B - 2YR WARRANTY,$14.66 ,https://www.newegg.com/Product/Product.aspx?Item=9SIA1HS2D85237&cm_re=kindle-_-9SIA1HS2D85237-_-Product
