Name,Price,Link
"Microsoft Surface Book SX3-00001 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce graphics 13.5"" Touchscreen 3000 x 2000 2-in-1 Laptop Windows 10 Pro",$988.00 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAENH69V2130&cm_re=surface-_-34-735-162-_-Product
"Microsoft Surface Pro Bundle KLH-00001 Intel Core i5 7th Gen 7300U (2.60 GHz) 8 GB Memory 128 GB SSD 12.3"" Touchscreen 2736 x 1824 Detachable 2-in-1 Laptop Windows 10 Pro 64-Bit",$959.00 (4 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16834735754&cm_re=surface-_-34-735-754-_-Product
"Microsoft Surface Pro 2017 Edition FJZ-00001 Intel Core i7 7th Gen 8 GB Memory 256 GB SSD 12.3"" Touchscreen 2736 x 1824 Tablet Windows 10 Pro 64-Bit",,https://www.newegg.com/Product/Product.aspx?Item=9SIA3FA6UR8493&cm_re=surface-_-34-735-413-_-Product
"Microsoft Surface Pro 2017 Edition FJR-00001 Intel Core m3 4 GB Memory 128 GB SSD 12.3"" Touchscreen 2736 x 1824 Tablet Windows 10 Pro 64-Bit",,https://www.newegg.com/Product/Product.aspx?Item=9SIA3FA6VF4806&cm_re=surface-_-34-735-408-_-Product
"Microsoft Surface Book SW5-00001 Intel Core i7 6th Gen 8 GB Memory 256 GB SSD NVIDIA GeForce Graphics 13.5"" Touchscreen 3000 x 2000 Detachable 2-in-1 Laptop Windows 10 Pro 64-Bit","$1,195.00 (2 Offers)",https://www.newegg.com/Product/Product.aspx?Item=9SIAENH6JS3356&cm_re=surface-_-34-735-134-_-Product
"Microsoft Surface Pro 2017 Edition FJT-00001 Intel Core i5 7th Gen 4 GB Memory 128 GB SSD 12.3"" Touchscreen 2736 x 1824 Tablet Windows 10 Pro 64-Bit",,https://www.newegg.com/Product/Product.aspx?Item=9SIA3787899533&cm_re=surface-_-34-735-409-_-Product
"Microsoft Surface Book CR7-00001 Intel Core i7 6th Gen 6600U (2.60 GHz) 16 GB Memory 512 GB SSD NVIDIA GeForce graphics 13.5"" Touchscreen 3000 x 2000 2-in-1 Laptop Windows 10 Pro 64-Bit","$1,675.00 (4 Offers)",https://www.newegg.com/Product/Product.aspx?Item=9SIAENH69V2132&cm_re=surface-_-34-735-163-_-Product
"Microsoft Surface Book CR9-00001 Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 520 13.5"" Touchscreen 3000 x 2000 Detachable 2-in-1 Laptop Windows 10 Pro 64-Bit",,https://www.newegg.com/Product/Product.aspx?Item=9SIAENH69V2125&cm_re=surface-_-34-735-161-_-Product
"Microsoft Surface Pro 4 SU3-00001 Intel Core M3 6Y30 (0.90 GHz) 4 GB Memory 128 GB SSD 12.3"" Touchscreen 2736 x 1824 Tablet Windows 10 Pro 64-Bit",$639.99 (8 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAB9065K6444&cm_re=surface-_-34-735-072-_-Product
"Microsoft Surface Pro 2017 Edition FJX-00001 Intel Core i5 7th Gen 8 GB Memory 256 GB SSD 12.3"" Touchscreen 2736 x 1824 Tablet Windows 10 Pro 64-Bit",,https://www.newegg.com/Product/Product.aspx?Item=9SIA29P71C4471&cm_re=surface-_-34-735-410-_-Product
