Name,Price,Link
"Avera 49EQX20 49"" 4K Ultra HD LED TV (2017), Black",$301.29 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16889651010&cm_re=tv-_-89-651-010-_-Product
TCL 55S405 Class S-Series 55-Inch 4K UHD HDR ROKU Smart TV,$459.00 (6 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAC4Z6YZ1756&cm_re=tv-_-072-00AJ-00001-_-Product
"Samsung UN50M5300AFXZA 50"" Full HD 1080p Smart TV (2017)",$397.99 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=16C-0003-002P7&cm_re=tv-_-16C-0003-002P7-_-Product
"Samsung UN43MU6300FXZA 43"" 4K UHD HDR Pro Smart TV (2017)",,https://www.newegg.com/Product/Product.aspx?Item=N82E16889356309&cm_re=tv-_-89-356-309-_-Product
TCL 43S405 Class S-Series 43-Inch 4K UHD HDR ROKU Smart TV,$279.99 (6 Offers),https://www.newegg.com/Product/Product.aspx?Item=12K-01R1-00002&cm_re=tv-_-12K-01R1-00002-_-Product
"Samsung UN75MU6300FXZA 75"" 4K UHD HDR Pro Smart TV (2017)",,https://www.newegg.com/Product/Product.aspx?Item=N82E16889356329&cm_re=tv-_-89-356-329-_-Product
"Samsung UN32J4000CFXZA 32"" HD 720p LED TV (2017)",$177.99 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16889354949&cm_re=tv-_-89-354-949-_-Product
TCL 32S305 Class S-Series 32-Inch HD LED ROKU Smart TV,$149.99 (9 Offers),https://www.newegg.com/Product/Product.aspx?Item=16C-001G-00053&cm_re=tv-_-16C-001G-00053-_-Product
"LG 43LJ500M 43"" Full HD 1080p LED TV (2017)",$248.99 ,https://www.newegg.com/Product/Product.aspx?Item=16C-000P-001G5&cm_re=tv-_-16C-000P-001G5-_-Product
Atyme 400AM7HD 40-inch Class 1080P LED TV,$184.99 ,https://www.newegg.com/Product/Product.aspx?Item=16C-004B-00005&cm_re=tv-_-16C-004B-00005-_-Product
"Refurbished: VIZIO M65-D0 65-inch 4K Ultra HD LED Smart TV - 3840 x 2160 - 50,000,000:1 - 360 Clear Action - V8 Octa-Core Processor - Tablet Remote - Wi-Fi - HDMI, 2 HDMI Cable Included",$649.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=16C-0014-000J5&cm_re=tv-_-16C-0014-000J5-_-Product
"Refurbished: Westinghouse 43"" WD43UB4530 LED 2160p Smart 4K Ultra HDTV, 2 HDMI Cable Included",$209.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16889234101&cm_re=tv-_-89-234-101-_-Product
"Samsung QN88Q9FAMFXZA 88"" QLED 4K UHD HDR Elite+ Smart TV (2017)","$19,997.99 (2 Offers)",https://www.newegg.com/Product/Product.aspx?Item=N82E16889356306&cm_re=tv-_-89-356-306-_-Product
"Refurbished: Samsung 55"" Class 4K Premium Ultra HD LED LCD TV",$649.99 ,https://www.newegg.com/Product/Product.aspx?Item=16C-0003-00366&cm_re=tv-_-16C-0003-00366-_-Product
"Samsung UN50NU7100FXZA 50"" 4K UHD HDR Smart TV (2018)",$547.99 (5 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIAE2J7EC1837&cm_re=tv-_-16C-0003-004K0-_-Product
"Refurbished: Vizio 24"" 1080p LED W /WIFI - E24-C1, Also Shipping E241C1, 2 HDMI Cable Included",$99.99 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16889262294&cm_re=tv-_-89-262-294-_-Product
LG 43UJ6300 43-Inch 4K UHD Smart LED TV with HDR (2017),$368.92 (3 Offers),https://www.newegg.com/Product/Product.aspx?Item=9SIADM25S60384&cm_re=tv-_-89-007-355-_-Product
TCL 43S305 Class S-Series 43-Inch FHD LED ROKU Smart TV,$249.99 (3 Offers),https://www.newegg.com/Product/Product.aspx?Item=16C-001G-00054&cm_re=tv-_-16C-001G-00054-_-Product
"Samsung UN50MU6300FXZA 50"" 4K UHD HDR Pro Smart TV (2017)",,https://www.newegg.com/Product/Product.aspx?Item=9SIA1UH7G75058&cm_re=tv-_-89-356-314-_-Product
"Samsung UN55MU7500FXZA 55"" Curved 4K UHD HDR Pro Smart TV (2017)",,https://www.newegg.com/Product/Product.aspx?Item=N82E16889356318&cm_re=tv-_-89-356-318-_-Product
