Name,Price,Link
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Silver","15,999.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-64gb-4g-lte-silver-24051433/i/
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Space Grey","16,630.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-64gb-4g-lte-space-grey-24051424/i/
"Apple iPhone 8 Plus with FaceTime - 256GB, 4G LTE, Gold","18,987.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-256gb-4g-lte-gold-24051427/i/
"Apple iPhone 8 with FaceTime - 256GB, 4G LTE, Gold","15,998.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-with-facetime-256gb-4g-lte-gold-24051437/i/
"Apple iPhone 8 Plus with FaceTime - 256GB, 4G LTE, Red","20,050.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-256gb-4g-lte-red-33235192/i/
"Apple iPhone 8 with FaceTime - 64GB, 4G LTE, Space Grey","13,800.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-with-facetime-64gb-4g-lte-space-grey-24051462/i/
"Apple iPhone 8 with FaceTime - 64GB, 4G LTE, Silver","14,820.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-with-facetime-64gb-4g-lte-silver-24051443/i/
"Apple iPhone 8 Plus without FaceTime - 64GB, 4G LTE, Space Grey","16,000.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-without-facetime-64gb-4g-lte-space-grey-24051439/i/
"Apple iPhone 8 without FaceTime - 64GB, 4G LTE, Gold","13,995.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-without-facetime-64gb-4g-lte-gold-24051438/i/
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Gold","17,500.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-64gb-4g-lte-gold-32163996/i/
"Apple iPhone 8 with FaceTime - 64GB, 4G LTE,Gold","13,995.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-with-facetime-64gb-4g-lte-gold-32163765/i/
"Apple iPhone 8 without FaceTime - 64GB, 4G LTE, Red","14,599.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-without-facetime-64gb-4g-lte-red-33235202/i/
"Apple iPhone 6 Plus With FaceTime - 128GB, 1GB, 4G LTE, Space Gray","10,100.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6-plus-with-facetime-128gb-1gb-4g-lte-space-gray-7278392/i/
"Apple iPhone 6 with FaceTime - 32GB, 4G LTE, Space Gray","6,222.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6-with-facetime-32gb-4g-lte-space-gray-22153389/i/
"Apple iPhone 5S with FaceTime - 16GB, 4G LTE, Gold","4,499.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-5s-with-facetime-16gb-4g-lte-gold-5754385/i/
"Apple iPhone 6 with FaceTime - 32GB, 4G LTE, Gold","6,449.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6-with-facetime-32gb-4g-lte-gold-22153184/i/
"Apple iPhone 6 with FaceTime - 16GB, 4G LTE, Silver","7,499.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6-with-facetime-16gb-4g-lte-silver-7274966/i/
"Apple iPhone 5S with FaceTime - 16GB, 4G LTE, Space Gray","4,999.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-5s-with-facetime-16gb-4g-lte-space-gray-5754742/i/
"Apple iPhone X with FaceTime - 256GB, 4G LTE, Silver","23,750.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-x-with-facetime-256gb-4g-lte-silver-24051446/i/
"Apple iPhone X with FaceTime - 64GB, 4G LTE, Space Grey","19,900.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-x-with-facetime-64gb-4g-lte-space-grey-24051426/i/
