Name,Price,Link
"Apple iPhone SE with FaceTime - 16GB, 4G LTE, Rose Gold","6,299.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-se-with-facetime-16gb-4g-lte-rose-gold-10432911/i/
"Apple iPhone 7 Plus with FaceTime - 32GB, 4G LTE, Black","14,695.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-plus-with-facetime-32gb-4g-lte-black-11526710/i/
"Apple iPhone 7 Plus with FaceTime - 128GB, 4G LTE, Gold","14,999.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-plus-with-facetime-128gb-4g-lte-gold-11526669/i/
"Apple iPhone 7 Plus with FaceTime - 128GB, 4G LTE, Silver","15,499.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-plus-with-facetime-128gb-4g-lte-silver-11526694/i/
"Apple iPhone 6S with FaceTime - 32GB, 4G LTE, Space Gray","9,549.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6s-with-facetime-32gb-4g-lte-space-gray-11524076/i/
"Apple iPhone 7 with FaceTime - 32GB, 4G LTE, Gold","11,860.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-with-facetime-32gb-4g-lte-gold-11526690/i/
"Apple iPhone 7 with FaceTime - 32GB, 4G LTE, Rose Gold","11,899.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-with-facetime-32gb-4g-lte-rose-gold-11526666/i/
"Apple iPhone 6S with FaceTime - 32GB, 4G LTE, Gold","10,379.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6s-with-facetime-32gb-4g-lte-gold-11523989/i/
"Apple iPhone 7 with FaceTime - 128GB, 4G LTE, Silver","14,048.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-with-facetime-128gb-4g-lte-silver-11526727/i/
"Apple iPhone 8 Plus with FaceTime - 256GB, 4G LTE, Gold","18,987.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-256gb-4g-lte-gold-24051427/i/
"Apple iPhone 8 with FaceTime - 256GB, 4G LTE, Gold","15,998.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-with-facetime-256gb-4g-lte-gold-24051437/i/
"Apple iPhone 8 Plus with FaceTime - 256GB, 4G LTE, Space Grey","18,995.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-256gb-4g-lte-space-grey-24051436/i/
"Apple iPhone 8 Plus with FaceTime - 256GB, 4G LTE, Silver","18,699.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-256gb-4g-lte-silver-24051442/i/
"Apple iPhone 7 with FaceTime - 32GB, 4G LTE, Black","11,999.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-7-with-facetime-32gb-4g-lte-black-11526680/i/
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Red","16,499.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-8-plus-with-facetime-64gb-4g-lte-red-33235193/i/
"Apple iPhone 6S with FaceTime - 16GB, 4G LTE, Silver","8,474.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6s-with-facetime-16gb-4g-lte-silver-8992518/i/
"Apple iPhone 6 with FaceTime - 64GB, 4G LTE, Space Gray","7,499.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6-with-facetime-64gb-4g-lte-space-gray-7277797/i/
"Apple iPhone 6S with FaceTime - 16GB, 4G LTE, Rose Gold","8,999.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-6s-with-facetime-16gb-4g-lte-rose-gold-9044790/i/
"Apple iPhone X with FaceTime - 64GB, 4G LTE, Space Grey","19,900.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-x-with-facetime-64gb-4g-lte-space-grey-24051426/i/
"Apple iPhone SE with FaceTime - 16GB, 4G LTE, Gold","6,749.00 EGP",https://egypt.souq.com/eg-en/apple-iphone-se-with-facetime-16gb-4g-lte-gold-10432918/i/
