Name,Price,Link
LEAGOO M9 Pro 4G Mobile Phone Android 8.1 2GB 16GB Quad Core Dual Back Cameras,US $89.99 - 104.99,"https://www.aliexpress.com/item/Original-LEAGOO-M9-Pro-4G-Mobile-Phone-Android-8-1-2GB-16GB-Quad-Core-Smartphone-Dual/32862974305.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-0&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
BLUBOO S1 4G Mobile Phones Android 7.0 4GB Helio P25 Octa Core 4 Dual Back Camera,US $119.99 - 149.99,"https://www.aliexpress.com/item/BLUBOO-S1-4G-Mobile-Phones-Android-7-0-4GB-64GB-Helio-P25-Octa-Core-Smartphone-5/32863862705.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-1&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
VKworld Stone V3 Mobile Phone Waterproof IP68 2.4 inch FM 3 SIM Card Russian Keyboard,US $35.99,"https://www.aliexpress.com/item/VKworld-New-Stone-V3-Mobile-Phone-Waterproof-IP68-2-4-inch-FM-Radio-3-SIM-Card/32856907751.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620-5722615_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-2&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
Xiaomi Redmi 5 Plus global version MIUI 9 Snapdragon 625 4G TD LTE 4GB RAM 64GB ROM,US $161.54 - 180.94,"https://www.aliexpress.com/item/Original-Xiaomi-Redmi-5-Plus-global-version-MIUI-9-Snapdragon-625-4G-TD-LTE-Cell-Phone/32865127157.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-3&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
Doogee Mix Android 7.0 Helio P25 Octa Core 6GB RAM 64GB ROM Dual back camera,US $159.99,"https://www.aliexpress.com/item/Original-Doogee-Mix-Smartphone-Android-7-0-Helio-P25-Octa-Core-Mobile-Phone-4-6GB/32816986195.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-4&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
Blackview A7 Smartphone Android 7.0 MTK6580 Quad core 5.0inch IPS HD Dual Rear Camera,US $51.99 - 85.59,"https://www.aliexpress.com/item/New-Blackview-A7-Smartphone-Android-7-0-MTK6580-Quad-core-5-0inch-IPS-HD-Mobile-phone/32822577269.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-5&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
Umidigi S2 Lite 18:9 Full Screen 4GB 32GB MT6750T Octa Core Android 7.0 4G Dual Sim,US $139.39 - 163.03,"https://www.aliexpress.com/item/Umidigi-S2-Lite-18-9-Full-Screen-4GB-32GB-Smartphone-MT6750T-Octa-Core-5-99-5100mAh/32860721355.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-6&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
Wieppo S5 Smartphone Android 7.0 MT6580 Quad Core 1G RAM 8ROM Cell Phone 8MP,US $49.49,"https://www.aliexpress.com/item/Wieppo-S5-Smartphone-Android-7-0-MT6580-Quad-Core-1G-RAM-8ROM-Cell-Phone-8MP-Rear/32877095987.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-7&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
Xgody Smartphone 6.0 Inch Quad Core 1GB RAM 8GB ROM Android 5.1 Dual SIM Cards,US $66.49 - 70.29,"https://www.aliexpress.com/item/Xgody-Smartphone-6-inch-Quad-Core-ROM-8GB-Y14-Android-5-1-Dual-SIM-Cards-3G/32802883127.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-8&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
"BLACKVIEW A20 Android GO smartphone Dual Rear Camera Quad core 5.5""18:9 Cell phone",US $51.99 - 83.99,"https://www.aliexpress.com/item/NEW-BLACKVIEW-A20-Android-GO-smartphone-Dual-Rear-Camera-Quad-core-5-5-18-9-Cell/32862755000.html?ws_ab_test=searchweb0_0,searchweb201602_4_10152_10151_10065_10344_10068_5722815_10342_10343_10340_5722915_10341_5722615_10696_10084_10083_10618_10307_5722715_10059_100031_10103_10624_10623_10622_5722515_10621_10620,searchweb201603_11,ppcSwitch_4&algo_expid=3e67ab28-5415-4548-a5e6-4b9515541f04-9&algo_pvid=3e67ab28-5415-4548-a5e6-4b9515541f04&priceBeautifyAB=0"
