Name,Price,Link
"Asus ZenFone 3 Deluxe ZS570KL 4G LTE Unlocked Cell Phone 5.7"" Glacier Silver 64GB 6GB RAM",$499.99 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16875220041&cm_re=mobile-_-75-220-041-_-Product
"Asus ZenFone 3 Deluxe 4G LTE Unlocked Cell Phone 5.5"" Glacier Silver 64GB 4GB RAM",$384.00 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16875220042&cm_re=mobile-_-75-220-042-_-Product
"LG G6 H870DS Dual SIM Unlocked GSM Smartphone International Version (5.7"" Black, 64GB Storage 4GB RAM) No Warranty",$463.49 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16875136467&cm_re=mobile-_-75-136-467-_-Product
"Apple iPhone 8 Plus 4G LTE Unlocked Cell Phone 5.5"" Space Gray 64GB 3GB RAM",$847.99 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16875113041&cm_re=mobile-_-75-113-041-_-Product
Huawei Honor 9 Android 7.0 4G Smartphone 4GB RAM 64GB ROM 812.0MP + 20.0MP Dual Rear Cameras Touch Sensor,$380.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIAFGH6R36443&cm_re=mobile-_-9SIAFGH6R36443-_-Product
"Huawei Mate RS Porsche NEO-AL00, 6GB+512GB, Triple Leica Lens Back Cameras, Front Screen and Rear Fingerprint Identification, 4000mAh Battery, 6.0 inch EMUI 8.1 (Android 8.1) Network: 4G","$2,929.99 ",https://www.newegg.com/Product/Product.aspx?Item=9SIAFJT76X2545&cm_re=mobile-_-9SIAFJT76X2545-_-Product
"Xiaomi Mi MIX Mobile Phone Snapdragon 821 4GB RAM 128GB ROM 6.4"" 2040x1080P FHD Edgeless Display Fast Charging Smart Phone",$488.00 ,https://www.newegg.com/Product/Product.aspx?Item=9SIADAB6R03702&cm_re=mobile-_-9SIADAB6R03702-_-Product
"Moto X4 (4th Gen), 5.2 Inches, FHD LTPS, 3GB RAM, 32GB Storage, Dual Rear Camera, Unlocked Cell Phone, US Warranty, Sterling blue (PA8S0007US)",$299.99 (3 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16875209540&cm_re=mobile-_-75-209-540-_-Product
"Moto X4 (4th Gen), 5.2 Inches, FHD LTPS, 3GB RAM, 32GB Storage, Dual Rear Camera, Unlocked Cell Phone, US Warranty, Super Black (PA8S0006US)",$299.99 (2 Offers),https://www.newegg.com/Product/Product.aspx?Item=N82E16875209541&cm_re=mobile-_-75-209-541-_-Product
"Moto G5s Plus (Special Edition) Unlocked Smartphone Dual Camera (5.5"" Lunar Gray, 32GB Storage 3GB RAM) US Warranty",$279.99 ,https://www.newegg.com/Product/Product.aspx?Item=N82E16875209538&cm_re=mobile-_-75-209-538-_-Product
