Name,Price,Link
"Innjoo L100 Dual SIM Mobile Phone - 32MB, 2G, Black",225.00 EGP,https://egypt.souq.com/eg-en/innjoo-l100-dual-sim-mobile-phone-32mb-2g-black-22907107/i/
"ONE CLICK POP II - 5.0"" Dual SIM Mobile Phone - Black",999.00 EGP,https://egypt.souq.com/eg-en/one-click-pop-ii-5-0-dual-sim-mobile-phone-black-11929354/i/
"VIWA Power P1 - 5.0"" - 3G Dual SIM Mobile Phone - Blue","1,025.00 EGP",https://egypt.souq.com/eg-en/viwa-power-p1-5-0-3g-dual-sim-mobile-phone-blue-24138191/i/
"iTel P51 Dual SIM Mobile Phone- 16 GB, 1 GB RAM, 3G, Champagne Gold","1,540.00 EGP",https://egypt.souq.com/eg-en/itel-p51-dual-sim-mobile-phone-16-gb-1-gb-ram-3g-champagne-gold-29946218/i/
"Tecno T349 - 1.77"" Dual SIM Mobile Phone",225.00 EGP,https://egypt.souq.com/eg-en/tecno-t349-1-77-dual-sim-mobile-phone-22408336/i/
iTel it2180 - 1.8 inch Dual SIM Mobile Phone - Black,190.00 EGP,https://egypt.souq.com/eg-en/itel-it2180-1-8-inch-dual-sim-mobile-phone-black-22550574/i/
"Alcatel Mobile Phone PIXI 4 , Dual SIM , 3G , 8GB , White","1,099.00 EGP",https://egypt.souq.com/eg-en/alcatel-mobile-phone-pixi-4-dual-sim-3g-8gb-white-23001636/i/
"Tecno T349 - 1.77"" Dual SIM Mobile Phone",225.00 EGP,https://egypt.souq.com/eg-en/tecno-t349-1-77-dual-sim-mobile-phone-22733970/i/
"iTel it5330 Dual SIM Mobile Phone - 8MB, 8MB RAM, 2G, 2.8 Inch, Black",315.00 EGP,https://egypt.souq.com/eg-en/itel-it5330-dual-sim-mobile-phone-8mb-8mb-ram-2g-2-8-inch-black-23947141/i/
"ASUS Zenfone Max ZC550KL - 5.5"" - 16GB Dual SIM Mobile Phone - Black","2,016.00 EGP",https://egypt.souq.com/eg-en/asus-zenfone-max-zc550kl-5-5-16gb-dual-sim-mobile-phone-black-23731145/i/
